"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 50,000",3030,124,595,168,282
"50,000 to 54,999",2380,167,616,94,162
"55,000 to 59,999",4939,276,1182,353,489
"60,000 to 64,999",16840,1330,4595,979,1660
"65,000 to 69,999",26281,2126,7507,1592,2396
"70,000 to 74,999",24013,1708,6374,1420,2322
"75,000 to 79,999",21450,1290,5365,1198,1872
"80,000 to 84,999",13992,707,3195,896,1155
"85,000 to 89,999",21082,975,4595,1456,1877
"90,000 to 94,999",7519,485,2264,351,632
"95,000 to 99,999",14607,637,3399,787,1288
"100,000 to 104,999",27637,1031,5991,1687,2468
"105,000 to 109,999",10066,414,2237,529,863
"110,000 to 114,999",9428,413,2481,436,825
"115,000 to 119,999",11641,357,2303,598,1041
"120,000 to 124,999",5833,248,1383,272,524
"125,000 to 149,999",33372,1108,7317,1364,2899
"150,000 and over",12825,345,2366,558,1373
"Total",266935,13741,63765,14738,24128
