bins_2023,bin_width_2023,bins_2022,bin_width_2022,bins_2021,bin_width_2021,bins_2020,bin_width_2020,bins_2019,bin_width_2019,bins_2018,bin_width_2018,bins_2017,bin_width_2017
"Under 50,000",49999,"Under 50,000",49999,"Under 50,000",49999,"Under 50,000",49999,"Under 15,000",14999,"Under 50,000",49999,"Under 50,000",49999
"50,000 to 54,999",5000,"50,000 to 54,999",5000,"50,000 to 54,999",5000,"50,000 to 54,999",5000,"15,000 to 49,999",35000,"50,000 to 54,999",5000,"50,000 to 54,999",5000
"55,000 to 59,999",5000,"55,000 to 59,999",5000,"55,000 to 59,999",5000,"55,000 to 59,999",5000,"50,000 to 54,999",5000,"55,000 to 59,999",5000,"55,000 to 59,999",5000
"60,000 to 64,999",5000,"60,000 to 64,999",5000,"60,000 to 64,999",5000,"60,000 to 64,999",5000,"55,000 to 59,999",5000,"60,000 to 64,999",5000,"60,000 to 64,999",5000
"65,000 to 69,999",5000,"65,000 to 69,999",5000,"65,000 to 69,999",5000,"65,000 to 69,999",5000,"60,000 to 64,999",5000,"65,000 to 69,999",5000,"65,000 to 69,999",5000
"70,000 to 74,999",5000,"70,000 to 74,999",5000,"70,000 to 74,999",5000,"70,000 to 74,999",5000,"65,000 to 69,999",5000,"70,000 to 74,999",5000,"70,000 to 74,999",5000
"75,000 to 79,999",5000,"75,000 to 79,999",5000,"75,000 to 79,999",5000,"75,000 to 79,999",5000,"70,000 to 74,999",5000,"75,000 to 79,999",5000,"75,000 to 79,999",5000
"80,000 to 84,999",5000,"80,000 to 84,999",5000,"80,000 to 84,999",5000,"80,000 to 84,999",5000,"75,000 to 79,999",5000,"80,000 to 84,999",5000,"80,000 to 84,999",5000
"85,000 to 89,999",5000,"85,000 to 89,999",5000,"85,000 to 89,999",5000,"85,000 to 89,999",5000,"80,000 to 84,999",5000,"85,000 to 89,999",5000,"85,000 to 89,999",5000
"90,000 to 94,999",5000,"90,000 to 94,999",5000,"90,000 to 94,999",5000,"90,000 to 94,999",5000,"85,000 to 89,999",5000,"90,000 to 94,999",5000,"90,000 to 94,999",5000
"95,000 to 99,999",5000,"95,000 to 99,999",5000,"95,000 to 99,999",5000,"95,000 to 99,999",5000,"90,000 to 94,999",5000,"95,000 to 99,999",5000,"95,000 to 99,999",5000
"100,000 to 104,999",5000,"100,000 to 149,999",50000,"100,000 to 149,999",5000,"100,000 to 149,999",50000,"95,000 to 99,999",5000,"100,000 and over",NA,"100,000 and over",NA
"105,000 to 109,999",5000,"150,000 to 199,999",50000,"150,000 to 199,999",50000,"150,000 to 199,999",50000,"100,000 to 149,999",50000,Total,NA,Total,NA
"110,000 to 114,999",5000,"200,000 to 249,999",50000,"200,000 to 249,999",50000,"200,000 to 249,999",50000,"150,000 to 199,999",50000,NA,NA,NA,NA
"115,000 to 119,999",5000,"250,000 and over",NA,"250,000 and over",NA,"250,000 and over",NA,"200,000 to 249,999",50000,NA,NA,NA,NA
"120,000 to 124,999",5000,Total,NA,Total,NA,Total,NA,"250,000 and over",NA,NA,NA,NA,NA
"125,000 to 149,999",5000,NA,NA,,NA,NA,NA,Total,NA,NA,NA,NA,NA
"150,000 and over",NA,,,,,,,,,,,,
Total,NA,,,,,,,,,,,,
