Year,bins,bin_width
2024,"Under 50,000",49999
2024,"50,000 to 54,999",5000
2024,"55,000 to 59,999",5000
2024,"60,000 to 64,999",5000
2024,"65,000 to 69,999",5000
2024,"70,000 to 74,999",5000
2024,"75,000 to 79,999",5000
2024,"80,000 to 84,999",5000
2024,"85,000 to 89,999",5000
2024,"90,000 to 94,999",5000
2024,"95,000 to 99,999",5000
2024,"100,000 to 104,999",5000
2024,"105,000 to 109,999",5000
2024,"110,000 to 114,999",5000
2024,"115,000 to 119,999",5000
2024,"120,000 to 124,999",5000
2024,"125,000 to 149,999",5000
2024,"150,000 and over",NA
2024,Total,NA
2023,"Under 50,000",49999
2023,"50,000 to 54,999",5000
2023,"55,000 to 59,999",5000
2023,"60,000 to 64,999",5000
2023,"65,000 to 69,999",5000
2023,"70,000 to 74,999",5000
2023,"75,000 to 79,999",5000
2023,"80,000 to 84,999",5000
2023,"85,000 to 89,999",5000
2023,"90,000 to 94,999",5000
2023,"95,000 to 99,999",5000
2023,"100,000 to 104,999",5000
2023,"105,000 to 109,999",5000
2023,"110,000 to 114,999",5000
2023,"115,000 to 119,999",5000
2023,"120,000 to 124,999",5000
2023,"125,000 to 149,999",5000
2023,"150,000 and over",NA
2023,Total,NA
2022,"Under 50,000",49999
2022,"50,000 to 54,999",5000
2022,"55,000 to 59,999",5000
2022,"60,000 to 64,999",5000
2022,"65,000 to 69,999",5000
2022,"70,000 to 74,999",5000
2022,"75,000 to 79,999",5000
2022,"80,000 to 84,999",5000
2022,"85,000 to 89,999",5000
2022,"90,000 to 94,999",5000
2022,"95,000 to 99,999",5000
2022,"100,000 to 149,999",50000
2022,"150,000 to 199,999",50000
2022,"200,000 to 249,999",50000
2022,"250,000 and over",NA
2022,Total,NA
2021,"Under 50,000",49999
2021,"50,000 to 54,999",5000
2021,"55,000 to 59,999",5000
2021,"60,000 to 64,999",5000
2021,"65,000 to 69,999",5000
2021,"70,000 to 74,999",5000
2021,"75,000 to 79,999",5000
2021,"80,000 to 84,999",5000
2021,"85,000 to 89,999",5000
2021,"90,000 to 94,999",5000
2021,"95,000 to 99,999",5000
2021,"100,000 to 149,999",5000
2021,"150,000 to 199,999",50000
2021,"200,000 to 249,999",50000
2021,"250,000 and over",NA
2021,Total,NA
2020,"Under 50,000",49999
2020,"50,000 to 54,999",5000
2020,"55,000 to 59,999",5000
2020,"60,000 to 64,999",5000
2020,"65,000 to 69,999",5000
2020,"70,000 to 74,999",5000
2020,"75,000 to 79,999",5000
2020,"80,000 to 84,999",5000
2020,"85,000 to 89,999",5000
2020,"90,000 to 94,999",5000
2020,"95,000 to 99,999",5000
2020,"100,000 to 149,999",50000
2020,"150,000 to 199,999",50000
2020,"200,000 to 249,999",50000
2020,"250,000 and over",NA
2020,Total,NA
2019,"Under 15,000",14999
2019,"15,000 to 49,999",35000
2019,"50,000 to 54,999",5000
2019,"55,000 to 59,999",5000
2019,"60,000 to 64,999",5000
2019,"65,000 to 69,999",5000
2019,"70,000 to 74,999",5000
2019,"75,000 to 79,999",5000
2019,"80,000 to 84,999",5000
2019,"85,000 to 89,999",5000
2019,"90,000 to 94,999",5000
2019,"95,000 to 99,999",5000
2019,"100,000 to 149,999",50000
2019,"150,000 to 199,999",50000
2019,"200,000 to 249,999",50000
2019,"250,000 and over",NA
2019,Total,NA
2018,"Under 50,000",49999
2018,"50,000 to 54,999",5000
2018,"55,000 to 59,999",5000
2018,"60,000 to 64,999",5000
2018,"65,000 to 69,999",5000
2018,"70,000 to 74,999",5000
2018,"75,000 to 79,999",5000
2018,"80,000 to 84,999",5000
2018,"85,000 to 89,999",5000
2018,"90,000 to 94,999",5000
2018,"95,000 to 99,999",5000
2018,"100,000 and over",NA
2018,Total,NA
2017,"Under 50,000",49999
2017,"50,000 to 54,999",5000
2017,"55,000 to 59,999",5000
2017,"60,000 to 64,999",5000
2017,"65,000 to 69,999",5000
2017,"70,000 to 74,999",5000
2017,"75,000 to 79,999",5000
2017,"80,000 to 84,999",5000
2017,"85,000 to 89,999",5000
2017,"90,000 to 94,999",5000
2017,"95,000 to 99,999",5000
2017,"100,000 and over",NA
2017,Total,NA
