quintile_year,salary_range,quintile,range_label,quintile_label
2024,"Under 50,000","Less than $69,999",<69.9K,Bottom 20th
2024,"50,000 to 54,999","Less than $69,999",<69.9K,Bottom 20th
2024,"55,000 to 59,999","Less than $69,999",<69.9K,Bottom 20th
2024,"60,000 to 64,999","Less than $69,999",<69.9K,Bottom 20th
2024,"65,000 to 69,999","Less than $69,999",<69.9K,Bottom 20th
2024,"70,000 to 74,999","$70,000 to $79,999",70.0-79.9k,20th to 40th
2024,"75,000 to 79,999","$70,000 to $79,999",70.0-79.9k,20th to 40th
2024,"80,000 to 84,999","$80,000 to $94,999",80.0-94.9K,40th to 60th
2024,"85,000 to 89,999","$80,000 to $94,999",80.0-94.9K,40th to 60th
2024,"90,000 to 94,999","$80,000 to $94,999",80.0-94.9K,40th to 60th
2024,"95,000 to 99,999","$95,000 to $109,999",95.0-109.9K,60th to 80th
2024,"100,000 to 104,999","$95,000 to $109,999",95.0-109.9K,60th to 80th
2024,"105,000 to 109,999","$95,000 to $109,999",95.0-109.9K,60th to 80th
2024,"110,000 to 114,999","Over $110,000",>110.0K,Top 20th
2024,"115,000 to 119,999","Over $110,000",>110.0K,Top 20th
2024,"120,000 to 124,999","Over $110,000",>110.0K,Top 20th
2024,"125,000 to 149,999","Over $110,000",>110.0K,Top 20th
2024,"150,000 and over","Over $110,000",>110.0K,Top 20th
2024,All ranges,All ranges,All ranges,All ranges
2023,"Under 50,000","Less than $65,000",<65.0K,Bottom 20th
2023,"25,000 to 49,999","Less than $65,000",<65.0K,Bottom 20th
2023,"50,000 to 54,999","Less than $65,000",<65.0K,Bottom 20th
2023,"55,000 to 59,999","Less than $65,000",<65.0K,Bottom 20th
2023,"60,000 to 64,999","Less than $65,000",<65.0K,Bottom 20th
2023,"65,000 to 69,999","$65,000 to $74,999",65.0-74.9K,20th to 40th
2023,"70,000 to 74,999","$65,000 to $74,999",65.0-74.9K,20th to 40th
2023,"75,000 to 79,999","$75,000 to $89,999",75.0-89.9K,40th to 60th
2023,"80,000 to 84,999","$75,000 to $89,999",75.0-89.9K,40th to 60th
2023,"85,000 to 89,999","$75,000 to $89,999",75.0-89.9K,40th to 60th
2023,"90,000 to 94,999","$90,000 to $104,999",90.0-104.9K,60th to 80th
2023,"95,000 to 99,999","$90,000 to $104,999",90.0-104.9K,60th to 80th
2023,"100,000 to 104,999","$90,000 to $104,999",90.0-104.9K,60th to 80th
2023,"105,000 to 109,999","Over $150,000",>150.0K,Top 20th
2023,"110,000 to 114,999","Over $150,000",>150.0K,Top 20th
2023,"115,000 to 119,999","Over $150,000",>150.0K,Top 20th
2023,"120,000 to 124,999","Over $150,000",>150.0K,Top 20th
2023,"125,000 to 149,999","Over $150,000",>150.0K,Top 20th
2023,"150,000 and over","Over $150,000",>150.0K,Top 20th
2023,All ranges,All ranges,All ranges,All ranges
2022,"Under 50,000","Less than $60,000",<60.0K,Bottom 20th
2022,"25,000 to 49,999","Less than $60,000",<60.0K,Bottom 20th
2022,"50,000 to 54,999","Less than $60,000",<60.0K,Bottom 20th
2022,"55,000 to 59,999","Less than $60,000",<60.0K,Bottom 20th
2022,"60,000 to 64,999","$60,000 to $69,999",60.0-69.9K,20th to 40th
2022,"65,000 to 69,999","$60,000 to $69,999",60.0-69.9K,20th to 40th
2022,"70,000 to 74,999","$70,000 to $84,999",70.0-84.9K,40th to 60th
2022,"75,000 to 79,999","$70,000 to $84,999",70.0-84.9K,40th to 60th
2022,"80,000 to 84,999","$70,000 to $84,999",70.0-84.9K,40th to 60th
2022,"85,000 to 89,999","$85,000 to $99,999",85.0-99.9K,60th to 80th
2022,"90,000 to 94,999","$85,000 to $99,999",85.0-99.9K,60th to 80th
2022,"95,000 to 99,999","$85,000 to $99,999",85.0-99.9K,60th to 80th
2022,"100,000 to 149,999","Over $100,000",>100.0K,Top 20th
2022,"150,000 to 199,999","Over $100,000",>100.0K,Top 20th
2022,"200,000 to 249,999","Over $100,000",>100.0K,Top 20th
2022,"250,000 and over","Over $100,000",>100.0K,Top 20th
2022,All ranges,All ranges,All ranges,All ranges
2021,"Under 25,000","Less than $60,000",<60.0K,Bottom 20th
2021,"25,000 to 49,999","Less than $60,000",<60.0K,Bottom 20th
2021,"50,000 to 54,999","Less than $60,000",<60.0K,Bottom 20th
2021,"55,000 to 59,999","Less than $60,000",<60.0K,Bottom 20th
2021,"60,000 to 64,999","$60,000 to $69,999",60.0-69.9K,20th to 40th
2021,"65,000 to 69,999","$60,000 to $69,999",60.0-69.9K,20th to 40th
2021,"70,000 to 74,999","$70,000 to $84,999",70.0-84.9K,40th to 60th
2021,"75,000 to 79,999","$70,000 to $84,999",70.0-84.9K,40th to 60th
2021,"80,000 to 84,999","$70,000 to $84,999",70.0-84.9K,40th to 60th
2021,"85,000 to 89,999","$85,000 to $99,999",85.0-99.9K,60th to 80th
2021,"90,000 to 94,999","$85,000 to $99,999",85.0-99.9K,60th to 80th
2021,"95,000 to 99,999","$85,000 to $99,999",85.0-99.9K,60th to 80th
2021,"100,000 to 149,999","Over $100,000",>100.0K,Top 20th
2021,"150,000 to 199,999","Over $100,000",>100.0K,Top 20th
2021,"200,000 to 249,999","Over $100,000",>100.0K,Top 20th
2021,"250,000 and over","Over $100,000",>100.0K,Top 20th
2021,All ranges,All ranges,All ranges,All ranges
